City,Latitude,Longitude,Population1,Population
Kollam,8.8879509,76.5955013,34.8657,348657
Avadi,13.1194809,80.1026704,34.5996,345996
Kadapa,14.4752936,78.8216861,34.3054,343054
Rajahmundry,17.0050454,81.7804732,34.1831,341831
Bilaspur,28.8680526,79.298385,33.103,331030
Kamarhati,22.6810246,88.3715343,33.0211,330211
Shahjahanpur,27.9126331,79.7465629,32.9736,329736
Bijapur,18.7935679,80.815939,32.7427,327427
Rampur,24.890091,83.7325427,32.5313,325313
Shimoga,13.9326093,75.574978,32.265,322650
Chandrapur,20.0967555,79.5045475,32.0379,320379
Junagadh,21.5185589,70.4591721,31.9462,319462
Thrissur,10.5256264,76.2132542,31.5957,315957
Alwar,27.5,76.5,31.5379,315379
Barddhaman,23.25,87.75,31.4265,314265
Kulti,23.7302149,86.8396711,31.3809,313809
Kakinada,17.1213126,82.1842248,31.2538,312538
Nizamabad,26.055318,82.9931387,31.1152,311152
Parbhani,19.2901981,76.6026443,30.717,307170
Tumkur,13.3400771,77.1006208,30.2143,302143
Hisar,29.080641,75.7887541,30.1383,301383
Ozhukarai,11.9414045,79.8064577,30.0104,300104
Biharsharif,25.2053052,85.5146116,29.7268,297268
Darbhanga,26.0831432,86.032571,29.6039,296039
Panipat,29.3912753,76.9771675,29.4292,294292
Aizawl,23.7435236,92.7382905,29.3416,293416
Bally,22.6469581,88.343612,29.3373,293373
Dewas,23,76.166667,28.955,289550
Tirupati,13.7792895,79.8351226,28.7482,287482
Ichalkaranji,16.6959348,74.4555755,28.7353,287353
Karnal,29.6803266,76.9896254,28.6827,286827
Bathinda,30.1791154,75.0471016,28.5788,285788
Jalna,19.918833,75.8708599,28.5577,285577
Kirari Suleman Nagar,28.7026993,77.047004,28.3211,283211
Purnia,26,87.5,28.2248,282248
Satna,24.5,81,28.0222,280222
Maunath Bhanjan,25.9546284,83.6473503,27.8745,278745
Barasat,22.7191072,88.4826229,27.8435,278435
Sonipat,28.9953758,77.0233627,27.8149,278149
Farrukhabad and Fatehgarh,27.36462,79.63123,27.6581,276581
Sagar,23.8096123,78.7591136,27.3296,273296
Raurkela,22.2142849,84.8724369,27.2721,272721
Durg,21.1982964,81.4007922,26.8806,268806
Imphal,24.7991162,93.9364419,26.8243,268243
Ratlam,23.502187,74.9539784,26.4914,264914
Hapur,28.7406125,77.8354256,26.2983,262983
Arrah,25.6234573,84.5968387,26.143,261430
Karimnagar,18.4348122,79.1328042,26.1185,261185
Anantapur,14.6546235,77.5562598,26.1004,261004
NDMC,28.6612736,77.0149769,25.7803,257803
Etawah,26.7183244,79.0902538,25.6838,256838
Ambernath,19.1435568,73.2970409,25.3475,253475
Bharatpur,27.6879749,84.4360713,25.2342,252342
Begusarai,25.5127194,86.0905711,25.2008,252008
Tiruvottiyur,13.1563873,80.3005279,24.9446,249446
North Dum Dum,22.6520597,88.4360417,24.9142,249142
